index,year,from_code2,votes,to_country,lang_own,lang_eng,lang_other,has_border,migration_band,migration_year,to_code2,to_code3,population,count,prop_emigrants,gender,comps_without_win
0,1999,AT,12.0,Bosnia and Herzegovina,0.0,0.0,1.0,,2000,2000,BA,BIH,4179350.0,273,6.532116238171007e-05,group,43
1,1999,AT,0.0,Belgium,0.0,1.0,0.0,,2000,2000,BE,BEL,10251250.0,2486,0.00024250701134,female,12
2,1999,AT,0.0,Cyprus,1.0,0.0,0.0,,2000,2000,CY,CYP,948237.0,161,0.0001697887764345,female,43
3,1999,AT,10.0,Germany,0.0,0.0,1.0,1.0,2000,2000,DE,DEU,82211508.0,181487,0.0022075619875504,group,16
4,1999,AT,5.0,Denmark,0.0,1.0,0.0,,2000,2000,DK,DNK,5339616.0,1525,0.000285601061949,group,35
5,1999,AT,3.0,Estonia,1.0,1.0,0.0,,2000,2000,EE,EST,1396985.0,0,0.0,group,43
6,1999,AT,0.0,Spain,1.0,0.0,0.0,,2000,2000,ES,ESP,40567864.0,5548,0.0001367584943589,female,29
7,1999,AT,0.0,France,1.0,0.0,0.0,,2000,2000,FR,FRA,60921384.0,12429,0.0002040170328369,female,21
8,1999,AT,0.0,United Kingdom,1.0,1.0,0.0,,2000,2000,GB,GBR,58892514.0,18851,0.0003200916163979,group,1
9,1999,AT,8.0,Croatia,1.0,0.0,0.0,,2000,2000,HR,HRV,4468302.0,1461,0.0003269698422353,female,43
10,1999,AT,0.0,Ireland,1.0,1.0,0.0,,2000,2000,IE,IRL,3805174.0,397,0.0001043316284616,group,2
11,1999,AT,1.0,Israel,0.0,0.0,1.0,,2000,2000,IL,ISR,6289000.0,6206,0.0009868023533153,male,0
12,1999,AT,2.0,Iceland,0.0,1.0,0.0,,2000,2000,IS,ISL,281205.0,72,0.0002560409665546,female,43
13,1999,AT,0.0,Lithuania,0.0,0.0,1.0,,2000,2000,LT,LTU,3499536.0,41,1.1715838899785573e-05,female,43
14,1999,AT,7.0,Malta,1.0,1.0,0.0,,2000,2000,MT,MLT,390087.0,55,0.0001409941884759,group,43
15,1999,AT,4.0,Netherlands,0.0,1.0,0.0,,2000,2000,NL,NLD,15925513.0,6742,0.000423345860193,female,23
16,1999,AT,0.0,Norway,0.0,1.0,0.0,,2000,2000,NO,NOR,4490967.0,1058,0.0002355840067406,male,3
17,1999,AT,0.0,Poland,1.0,0.0,0.0,,2000,2000,PL,POL,38258629.0,4477,0.0001170193526798,male,43
18,1999,AT,0.0,Portugal,1.0,0.0,0.0,,2000,2000,PT,PRT,10289898.0,388,3.770688494677012e-05,male,43
19,1999,AT,6.0,Sweden,0.0,1.0,0.0,,2000,2000,SE,SWE,8872109.0,6021,0.0006786436009746,female,7
20,1999,AT,0.0,Slovenia,0.0,1.0,0.0,1.0,2000,2000,SI,SVN,1988925.0,5745,0.0028884950412911,female,43
21,1999,AT,0.0,Turkey,1.0,0.0,0.0,,2000,2000,TR,TUR,64113547.0,13354,0.0002082867135708,group,43
22,1999,BA,0.0,Austria,0.0,1.0,0.0,,2000,2000,AT,AUT,8011566.0,116023,0.0144819377385145,female,32
23,1999,BA,0.0,Belgium,0.0,1.0,0.0,,2000,2000,BE,BEL,10251250.0,295,2.8776978417266183e-05,female,12
24,1999,BA,0.0,Cyprus,1.0,0.0,0.0,,2000,2000,CY,CYP,948237.0,31,3.2692248878708595e-05,female,43
25,1999,BA,10.0,Germany,0.0,0.0,1.0,,2000,2000,DE,DEU,82211508.0,151087,0.0018377840727602,group,16
26,1999,BA,0.0,Denmark,0.0,1.0,0.0,,2000,2000,DK,DNK,5339616.0,18844,0.0035290927287655,group,35
27,1999,BA,3.0,Estonia,1.0,1.0,0.0,,2000,2000,EE,EST,1396985.0,0,0.0,group,43
28,1999,BA,0.0,Spain,1.0,0.0,0.0,,2000,2000,ES,ESP,40567864.0,1466,3.6136977781230976e-05,female,29
29,1999,BA,0.0,France,1.0,0.0,0.0,,2000,2000,FR,FRA,60921384.0,8898,0.0001460570889197,female,21
30,1999,BA,1.0,United Kingdom,1.0,1.0,0.0,,2000,2000,GB,GBR,58892514.0,6470,0.000109861161641,group,1
31,1999,BA,8.0,Croatia,1.0,0.0,0.0,1.0,2000,2000,HR,HRV,4468302.0,430399,0.0963227194580849,female,43
32,1999,BA,0.0,Ireland,1.0,1.0,0.0,,2000,2000,IE,IRL,3805174.0,748,0.0001965744536255,group,2
33,1999,BA,0.0,Iceland,0.0,1.0,0.0,,2000,2000,IS,ISL,281205.0,18,6.401024163866218e-05,female,43
34,1999,BA,0.0,Lithuania,0.0,0.0,1.0,,2000,2000,LT,LTU,3499536.0,0,0.0,female,43
35,1999,BA,7.0,Malta,1.0,1.0,0.0,,2000,2000,MT,MLT,390087.0,77,0.0001973918638662,group,43
36,1999,BA,4.0,Netherlands,0.0,1.0,0.0,,2000,2000,NL,NLD,15925513.0,458,2.8758885192583748e-05,female,23
37,1999,BA,0.0,Norway,0.0,1.0,0.0,,2000,2000,NO,NOR,4490967.0,11573,0.0025769505765684,male,3
38,1999,BA,6.0,Poland,1.0,0.0,0.0,,2000,2000,PL,POL,38258629.0,3383,8.842449634042035e-05,male,43
39,1999,BA,0.0,Portugal,1.0,0.0,0.0,,2000,2000,PT,PRT,10289898.0,44,4.276038499118261e-06,male,43
40,1999,BA,12.0,Sweden,0.0,1.0,0.0,,2000,2000,SE,SWE,8872109.0,51526,0.0058076382965989,female,7
41,1999,BA,5.0,Slovenia,0.0,1.0,0.0,,2000,2000,SI,SVN,1988925.0,77361,0.0388958859685508,female,43
42,1999,BA,0.0,Turkey,1.0,0.0,0.0,,2000,2000,TR,TUR,64113547.0,2839,4.428081322657129e-05,group,43
43,1999,BE,6.0,Austria,0.0,1.0,0.0,,2000,2000,AT,AUT,8011566.0,1782,0.0002224284241058,female,32
44,1999,BE,0.0,Cyprus,1.0,0.0,0.0,,2000,2000,CY,CYP,948237.0,119,0.0001254960521473,female,43
45,1999,BE,10.0,Germany,0.0,0.0,1.0,1.0,2000,2000,DE,DEU,82211508.0,22711,0.0002762508625921,group,16
46,1999,BE,0.0,Denmark,0.0,1.0,0.0,,2000,2000,DK,DNK,5339616.0,1233,0.0002309154815627,group,35
47,1999,BE,4.0,Estonia,1.0,1.0,0.0,,2000,2000,EE,EST,1396985.0,0,0.0,group,43
48,1999,BE,0.0,Spain,1.0,0.0,0.0,,2000,2000,ES,ESP,40567864.0,32533,0.000801940176096,female,29
49,1999,BE,0.0,France,1.0,0.0,0.0,1.0,2000,2000,FR,FRA,60921384.0,136250,0.0022364889149596,female,21
50,1999,BE,0.0,United Kingdom,1.0,1.0,0.0,,2000,2000,GB,GBR,58892514.0,20943,0.0003556139579981,group,1
51,1999,BE,5.0,Croatia,1.0,0.0,0.0,,2000,2000,HR,HRV,4468302.0,197,4.408833601667927e-05,female,43
52,1999,BE,0.0,Ireland,1.0,1.0,0.0,,2000,2000,IE,IRL,3805174.0,822,0.0002160216589307,group,2
53,1999,BE,3.0,Israel,0.0,0.0,1.0,,2000,2000,IL,ISR,6289000.0,4690,0.0007457465415805,male,0
54,1999,BE,8.0,Iceland,0.0,1.0,0.0,,2000,2000,IS,ISL,281205.0,77,0.000273821589232,female,43
55,1999,BE,0.0,Lithuania,0.0,0.0,1.0,,2000,2000,LT,LTU,3499536.0,26,7.429556375473777e-06,female,43
56,1999,BE,0.0,Malta,1.0,1.0,0.0,,2000,2000,MT,MLT,390087.0,58,0.0001486847805745,group,43
57,1999,BE,12.0,Netherlands,0.0,1.0,0.0,1.0,2000,2000,NL,NLD,15925513.0,44982,0.0028245243967965,female,23
58,1999,BE,0.0,Norway,0.0,1.0,0.0,,2000,2000,NO,NOR,4490967.0,886,0.0001972849054557,male,3
59,1999,BE,0.0,Poland,1.0,0.0,0.0,,2000,2000,PL,POL,38258629.0,2904,7.590444498154912e-05,male,43
60,1999,BE,0.0,Portugal,1.0,0.0,0.0,,2000,2000,PT,PRT,10289898.0,2862,0.000278136867829,male,43
61,1999,BE,7.0,Sweden,0.0,1.0,0.0,,2000,2000,SE,SWE,8872109.0,1201,0.0001353680393241,female,7
62,1999,BE,2.0,Slovenia,0.0,1.0,0.0,,2000,2000,SI,SVN,1988925.0,317,0.0001593825810425,female,43
63,1999,BE,0.0,Turkey,1.0,0.0,0.0,,2000,2000,TR,TUR,64113547.0,8152,0.0001271494150838,group,43
64,1999,CY,1.0,Austria,0.0,1.0,0.0,,2000,2000,AT,AUT,8011566.0,224,2.79595774409148e-05,female,32
65,1999,CY,0.0,Belgium,0.0,1.0,0.0,,2000,2000,BE,BEL,10251250.0,74,7.218631874161688e-06,female,12
66,1999,CY,0.0,Germany,0.0,0.0,1.0,,2000,2000,DE,DEU,82211508.0,933,1.1348776134844772e-05,group,16
67,1999,CY,8.0,Denmark,0.0,1.0,0.0,,2000,2000,DK,DNK,5339616.0,151,2.827918711757549e-05,group,35
68,1999,CY,0.0,Estonia,1.0,1.0,0.0,,2000,2000,EE,EST,1396985.0,0,0.0,group,43
69,1999,CY,0.0,Spain,1.0,0.0,0.0,,2000,2000,ES,ESP,40567864.0,254,6.261113476420647e-06,female,29
70,1999,CY,0.0,France,1.0,0.0,0.0,,2000,2000,FR,FRA,60921384.0,1142,1.8745470391808564e-05,female,21
71,1999,CY,4.0,United Kingdom,1.0,1.0,0.0,,2000,2000,GB,GBR,58892514.0,75098,0.0012751705590289,group,1
72,1999,CY,0.0,Ireland,1.0,1.0,0.0,,2000,2000,IE,IRL,3805174.0,158,4.152241132731381e-05,group,2
73,1999,CY,12.0,Iceland,0.0,1.0,0.0,,2000,2000,IS,ISL,281205.0,3,1.0668373606443698e-05,female,43
74,1999,CY,5.0,Lithuania,0.0,0.0,1.0,,2000,2000,LT,LTU,3499536.0,3,8.572565048623589e-07,female,43
75,1999,CY,3.0,Malta,1.0,1.0,0.0,,2000,2000,MT,MLT,390087.0,31,7.946945168641868e-05,group,43
76,1999,CY,0.0,Netherlands,0.0,1.0,0.0,,2000,2000,NL,NLD,15925513.0,247,1.5509704459755866e-05,female,23
77,1999,CY,7.0,Norway,0.0,1.0,0.0,,2000,2000,NO,NOR,4490967.0,105,2.3380265319250843e-05,male,3
78,1999,CY,0.0,Poland,1.0,0.0,0.0,,2000,2000,PL,POL,38258629.0,46,1.2023431367600758e-06,male,43
79,1999,CY,0.0,Portugal,1.0,0.0,0.0,,2000,2000,PT,PRT,10289898.0,19,1.8464711700737944e-06,male,43
80,1999,CY,6.0,Sweden,0.0,1.0,0.0,,2000,2000,SE,SWE,8872109.0,453,5.105888577338263e-05,female,7
81,1999,CY,0.0,Slovenia,0.0,1.0,0.0,,2000,2000,SI,SVN,1988925.0,4,2.011136669306284e-06,female,43
82,1999,CY,0.0,Turkey,1.0,0.0,0.0,,2000,2000,TR,TUR,64113547.0,9679,0.0001509665344205,group,43
83,1999,DE,5.0,Austria,0.0,1.0,0.0,1.0,2000,2000,AT,AUT,8011566.0,126680,0.0158121395991744,female,32
84,1999,DE,8.0,Bosnia and Herzegovina,0.0,0.0,1.0,,2000,2000,BA,BIH,4179350.0,807,0.0001930922272602,group,43
85,1999,DE,0.0,Belgium,0.0,1.0,0.0,1.0,2000,2000,BE,BEL,10251250.0,72016,0.0070250945006706,female,12
86,1999,DE,0.0,Cyprus,1.0,0.0,0.0,,2000,2000,CY,CYP,948237.0,1181,0.0012454692234114,female,43
87,1999,DE,0.0,Denmark,0.0,1.0,0.0,1.0,2000,2000,DK,DNK,5339616.0,28060,0.005255059539862,group,35
88,1999,DE,6.0,Estonia,1.0,1.0,0.0,,2000,2000,EE,EST,1396985.0,970,0.0006943524805205,group,43
89,1999,DE,0.0,Spain,1.0,0.0,0.0,,2000,2000,ES,ESP,40567864.0,160472,0.0039556433141266,female,29
90,1999,DE,0.0,France,1.0,0.0,0.0,1.0,2000,2000,FR,FRA,60921384.0,182688,0.002998749995568,female,21
91,1999,DE,0.0,United Kingdom,1.0,1.0,0.0,,2000,2000,GB,GBR,58892514.0,257322,0.00436934989734,group,1
92,1999,DE,10.0,Croatia,1.0,0.0,0.0,,2000,2000,HR,HRV,4468302.0,7773,0.0017395869840489,female,43
93,1999,DE,0.0,Ireland,1.0,1.0,0.0,,2000,2000,IE,IRL,3805174.0,7601,0.0019975433449298,group,2
94,1999,DE,7.0,Israel,0.0,0.0,1.0,,2000,2000,IL,ISR,6289000.0,26847,0.0042688821752265,male,0
95,1999,DE,3.0,Iceland,0.0,1.0,0.0,,2000,2000,IS,ISL,281205.0,1040,0.0036983695169004,female,43
96,1999,DE,0.0,Lithuania,0.0,0.0,1.0,,2000,2000,LT,LTU,3499536.0,1605,0.0004586322301013,female,43
97,1999,DE,1.0,Malta,1.0,1.0,0.0,,2000,2000,MT,MLT,390087.0,578,0.0014817207443467,group,43
98,1999,DE,0.0,Netherlands,0.0,1.0,0.0,1.0,2000,2000,NL,NLD,15925513.0,123252,0.0077392797330924,female,23
99,1999,DE,0.0,Norway,0.0,1.0,0.0,,2000,2000,NO,NOR,4490967.0,11445,0.0025484489197983,male,3
100,1999,DE,4.0,Poland,1.0,0.0,0.0,1.0,2000,2000,PL,POL,38258629.0,105540,0.002758593362036,male,43
101,1999,DE,0.0,Portugal,1.0,0.0,0.0,,2000,2000,PT,PRT,10289898.0,24141,0.0023460873956184,male,43
102,1999,DE,2.0,Sweden,0.0,1.0,0.0,,2000,2000,SE,SWE,8872109.0,38155,0.0043005558204931,female,7
103,1999,DE,0.0,Slovenia,0.0,1.0,0.0,,2000,2000,SI,SVN,1988925.0,12368,0.006218434581495,female,43
