,index,#,Country,#.1,Artist,Song,Language,Pl.,Sc.,Eurovision_Number,Year,Host_Country,Host_City,Lyrics,Lyrics translation,Gender
0,772,773,Croatia,6,Danijela,Neka mi ne svane,Croatian,5,131,43,1998,United Kingdom,Birmingham,"Još jedan dan je prošao
Još jednom mjesec došao
Tiho k'o neki dragi gost
Da mi do jutra bude most
Jer tuga vodi me kroz godine
I krade san, dok novi ne svane mi dan

Neka mi ne svane
Nek' me nema, nek' me ne bude
Neka me bez tebe ne probude

Neka mi ne svane
Nek' me nema, nek' me ne bude
Neka me bez tebe ne probude

Još jedan dan je prošao
Još jednom mjesec došao
Tiho k'o neki dragi gost
Da mi do jutra bude most

Jer tuga vodi me kroz godine
I krade san, dok novi ne svane mi dan

Neka mi ne svane
Nek' me nema, nek' me ne bude
Neka me bez tebe ne probude

Neka mi ne svane
Nek' me nema, nek' me ne bude
Neka me bez tebe ne probude

Neka me bez tebe ne probude
Neka mi ne svane
Nek' me nema, nek' me ne bude
Neka me bez tebe ne probude
Neka me bez tebe ne probude","One more day has passed
Once more the moon appeared on the sky
Silently as some dear guest
To be my bridge to the morning
Because sadness leads me through the years
And steals my sleep, until the new day comes for me. May the dawn never come to me
May I disappear, may I cease to exist
May they never wake me up without you
May the dawn never come to me
May I disappear, may I cease to exist
May they never wake me up without you",female
1,773,774,Greece,21,Thalassa,Mia krifi evesthisia (Μια κρυφή ευαισθησία),Greek,20,12,43,1998,United Kingdom,Birmingham,"Mia kryfi evaisthisia chtizei tin eikona sou
Me ta logia kai tis skepseis pou echoune to chroma sou
Mes ti nychta, mes ti nychta
To fengari sou magevei t’ achanes tou ouranou
Ki oti sothike archizei mystiko choro sto nou
Mes ti nychta, mes ti nychta
Mataia, ki apopse stous paradeisous
Tis fantasias mou me t’ oneiro tha planitho
Oso ki an anastisa to chadi sou
S’ ena skotadi sou panta tha xepsycho
Mia kryfi evaisthisia sozei mia sou skia
Tin psychi san erinya m’ ena fovo kyverna
Mes ti nychta, mes ti nychta
Mataia, ki apopse stous paradeisous
Tis fantasias mou me t’ oneiro tha planitho
Oso ki an anastisa to chadi sou
S’ ena skotadi sou panta tha xepsycho
Oso ki an anastisa to chadi sou
S’ ena skotadi sou panta tha xepsycho
Mataia","A secret illusion builds your picture
With the words and the thoughts which have your colour
In the night, in the night
The moon makes magic to the sky
And what is left begins a secret dance in the mind
In the night, in the night
Tonight, in vain I am going to walk
In the roads of your imagination
Even if I wake up from your touch
In the darkness of your soul I’m always going to die
A secret illusion saves your shadow
My soul is ruled by this
In the night, in the night
Tonight, in vain I am going to walk
In the roads of your imagination
Even if I wake up from your touch
In the darkness of your soul I’m always going to die
Even if I wake up from your touch
In the darkness of your soul I’m always going to die
In vain
",group
2,774,775,France,41,Marie Line,Où aller,French,24,3,43,1998,United Kingdom,Birmingham,"Tu n'as pas où aller
Tu n'sais même pas où aller
Tu n'as pas où aller
Tu n'sais même pas où aller

Tu n'as pas où aller
Quand tu es bloqué, tes yeux sont fermés
Personne peut décider le cours de ta vie
Toi seul peut le dessiner

Tu n'es pas le premier
L'espoir va t'encourager
Si tu penses, tu relances
Si tu flanches, tu renonces

Tu n'as pas où aller
Tu n'sais même pas où aller
Tu n'as pas où aller
(Tu n'sais même pas où aller)
Non, non

Dans tes manières, t'es bien remonté
Mais ton cœur parle
T'en baves, tu rames, t'es mal

D'y voir bien clair
Tu pourrais trouver le vrai chemin, la foi, la force
Qui mènent à la vérité

Tu n'as pas où aller
Tu n'sais même pas où aller
Tu n'as pas où aller
Tu n'sais même pas où aller

Non, tu n'as pas, oh, où aller
(Tu n'as pas où aller)
(Tu n'sais même pas où aller)
(Tu n'as pas où aller)
Toi seul peux tout changer
(Tu n'sais même pas où aller)
Oh non

(Même pas où aller, même pas où aller)
(Même pas où aller, même pas où aller)
Oh la...
(Même pas où aller, même pas où aller)
Oh lala...
(Même pas où aller, même pas où aller)
Oh la...

(Tu n'as pas où aller)
Non, tu n'as pas
(Tu n'sais même pas où aller)
Oh... où aller
(Tu n'as pas où aller)
Oh... où aller
(Tu n'sais même pas où aller)
Oh non

(Tu n'as pas où aller)
(Tu n'sais même pas où aller)
Oh la... où aller
(Tu n'as pas où aller)
Oh... où aller
(Tu n'sais même pas où aller)
Oh la...

(Tu n'as pas où aller)
(Tu n'sais même pas où aller)
La la...
(Tu n'as pas où aller)
(Tu n'sais même pas où aller)","You've got nowhere to go
You don't even know where to go
You've got nowhere to go
You don't even know where to go You've got nowhere to go
When you're numb and your eyes are closed
Nobody else can decide over the path of your life
You alone can draw it You're not the first one
Hope will comfort you
If you think about it, you'll give it another try
If you get weak, you'll give up You've got nowhere to go
You don't even know where to go
You've got nowhere to go
(You don't even know where to go)
No, no In your ways
You've well got up again
But your heart is speaking out, you've got a hard time
You're struggling, you're doing badly Seeing clear
You could find
The right way, belief, strength
Which will lead you to the truth You've got nowhere to go
You don't even know where to go
You've got nowhere to go
You don't even know where to go No, you've got nowhere, o, nowhere to go
(You've got nowhere to go)
(You don't even know where to go) (You've got nowhere to go)
You alone can chang everything
(You don't even know where to go)
Oh, no (No even anywhere to go, not even anywhere to go)
(No even anywhere to go, not even anywhere to go)
Oh la... (No even anywhere to go, not even anywhere to go)
Oh lala...
(No even anywhere to go, not even anywhere to go)
Oh la... (You've got nowhere to go)
No, you haven't
(You don't even know where to go)
Oh... where to go (You've got nowhere to go)
Oh... where to go
(You don't even know where to go)
Oh, no (You've got nowhere to go)
(You don't even know where to go)
Oh la... where to go (You've got nowhere to go)
Oh... where to go
(You don't even know where to go)
Oh la... (You've got nowhere to go)
(You don't even know where to go)
La la...
(You've got nowhere to go)
(You don't even know where to go)",female
3,775,776,Spain,38,Mikel Herzog,¿Qué voy a hacer sin ti?,Spanish,16,21,43,1998,United Kingdom,Birmingham,"Eras la niña de mis ojos
Eras la reina de mi corazón
Eras mi mundo, todo mi rumbo
Una vida por delante
Tantos sueños para compartir
Y en un momento te olvidaste de vivir
¿Qué voy a hacer sin ti
Si ya no estás aquí?
¿Cómo puedo entregarte amor?
Tantos besos que no te di
¿Qué voy a hacer sin ti
Si ya no estás aquí?
¿Qué le digo a mi corazón
Que no para de repetir?
¿Qué voy a hacer sin ti?
Ahora tienes que marcharte
No me quiero separar de ti
¿Si no te tengo para qué quiero vivir?
¿Qué voy a hacer sin ti
Si ya no estás aquí?
¿Cómo puedo entregarte amor?
Tantos besos que no te di
¿Qué voy a hacer sin ti
Si ya no estás aquí?
¿Qué le digo a mi corazón
Que no para de repetir?
¿Qué voy a hacer sin ti?
¿Qué voy a hacer sin ti
Si ya no estás aquí?
¿Cómo puedo entregarte amor?
Tantos besos que no te di
¿Qué voy a hacer sin ti
Si ya no estás aquí?
¿Qué le digo a mi corazón
Que se cansa de repetir?
¿Qué voy a hacer sin ti?","You were the apple of my eye,
the queen of my heart
my world, my path
a life ahead,
so many dreams to share,
and in one moment, you forgot how to live. What am I gonna do without you
if you're not here anymore?
How can I give you love
so many kisses I didn't give you. What am I gonna do without you
if you're not here anymore?
whad do I say to my heart
that can't stop repeating it all?
What am I gonna do without you? Now you have to leave,
I don't want to be separated from you
If I don't have you, why would I want to live? What am I gonna do without you
if you're not here anymore?
How can I give you love
so many kisses I didn't give you. What am I gonna do without you
if you're not here anymore?
whad do I say to my heart
that can't stop repeating it all?
What am I gonna do without you? What am I gonna do without you
if you're not here anymore?
How can I give you love
so many kisses I didn't give you. What am I gonna do without you
if you're not here anymore?
whad do I say to my heart
that can't stop repeating it all?
What am I gonna do without you?",male
4,776,777,Switzerland,42,Gunvor,Lass ihn,German,25,0,43,1998,United Kingdom,Birmingham,"Cocktails serviert er jeden Abend
Verzaubert jede Frau spielt mit seinem Charme
Auch du liesst dich von ihm blenden
Warst schon nach paar Stunden in seinem Arm
Lass ihn endlich gehen, oft liess er dich stehen
Es war nur ein Schein, lass ihn endlich sein
Wie oft betrog er dich, dachtest, er ändert sich
Doch da belügst du dich - sag, tut's nicht weh?

Samstag, freust dich auf den Abend
Hast noch viel zu tun bis zum Feierabend
Aber die Gedanken schweifen 'rüber
Denkst nur noch an ihn, schmeisst die Arbeit
Sogar die Stelle hin

Lass ihn endlich gehen, oft liess er dich stehen
Es war nur ein Schein, lass ihn endlich sein
Wie oft betrog er dich, dachtest, er ändert sich
Doch da belügst du dich - sag, tut's nicht weh?

Lass ihn endlich gehen, oft liess er dich stehen
Es war nur ein Schein, lass ihn endlich sein
Wie oft betrog er dich, dachtest, er ändert sich
Doch da belügst du dich - sag, tut's nicht weh?

Sag, tut's nicht weh?
Es tut so weh","Let him
He serves cocktails every night
He wins all women over
Using his charm
You too let him bedazzle you
After a few hours, you were already in his arms
Let him go at last
He often walked out on you
It's only appearance
Let him be at last
How often he cheated you
You thought he would change
But you lied to yourself
Say, doesn't it hurt?
Saturday and you're looking forward for the night to come
You still have loads to do before you finish work
But you keep thinking about it
You can't get him out of your mind
You leave work
Even abandon your job
Let him go at last
He often walked out on you
It's only appearance
Let him be at last
How often he cheated you
You thought he would change
But you lied to yourself
Say, doesn't it hurt?
Let him go at last
He often walked out on you
It as only appearance
Let him be at last
How often he cheated you
You thought he would change
But you lied to yourself
Say, doesn't it hurt?
Say, doesn't it hurt?
It hurts so much",female
5,777,778,Slovakia,3,Katarína Hasprová,Modlitba,Slovak,21,8,43,1998,United Kingdom,Birmingham,"Láska v nás sa stráca, mám strach
Ako prežiť bez spoločných snov
Túžim sa vrátiť zastaviť čas
Veriť smútku, že utečie s tmou
Odchádzaš preč a dúfaš, že nájdeš
Ten svet, ktorý láka ťa leskom a slávou
Vzdávaš sa nás a popieraš lásku
Tak choď, bež si rýchlo
Bez zbytočných klamstiev a falošných slov
Láska kráčam údolím sĺz
A len ty môžeš zmierniť môj žiaľ
Túžim sa dotknúť tvojich pier, tvojich rúk
Prosím vráť sa mi, nevzdaj sa nás
Zostal si sám a viem, že sa blíži
Ten deň, keď sa vrátiš ja viem ten deň príde
Čakám ťa, poď, spolu zažeňme smútok
Chcem lásku a vášeň, chcem oddanosť nehu
Chcem všetko čo máš
Modlitba lásky na veky
Modlitba vášne a nehy
Modlitba lásky, čo verí
Zázraku v nás, zázraku v nás
Láska kráčam údolím sĺz
A len ty môžeš zmierniť môj žiaľ
Túžim sa dotknúť tvojich pier, tvojich rúk
Prosím vráť sa mi, nevzdaj sa nás
Zostal si sám a viem, že sa blíži
Ten deň, keď sa vrátiš ja viem ten deň príde
Čakám ťa, poď, spolu zažeňme smútok
Chcem lásku a vášeň, chcem oddanosť nehu
Chcem všetko čo máš
Modlitba lásky na veky
Modlitba vášne a nehy
Modlitba lásky, čo verí
Zázraku v nás, len v nás
Zázraku v nás","Love gets lost on us, I am afraid
How can we survive without mutual dreams
I long to return, to stop time
To trust that my sadness will run away with the darkness
You leave and hope to find
The world that tempts you with its glitter and glory
You give up on us and denying love
Then go, leave quickly
Without unneeded lies and fake words Love, I tread the valley of tears
And you are the only one who can ease my sorrow
I long to touch your lips, your hands
Please come back, do not give up on us You were left alone and I know the day is drawing near
When you return, I know that the day will arrive
I wait for you, come, let's fight off our sadness together
I want love and passion, I want faithfulness and tenderness
I want everything you have A prayer of eternal love
A prayer of passion and tenderness
A prayer of love that believes
In the miracle in us, in the miracle in us Love, I tread the valley of tears
And you are the only one who can ease my sorrow
I long to touch your lips, your hands
Please come back, do not give up on us You were left alone and I know the day is drawing near
When you return, I know that the day will arrive
I wait for you, come, let's fight off our sadness together
I want love and passion, I want faithfulness and tenderness
I want everything you have A prayer of eternal love
A prayer of passion and tenderness
A prayer of love that believes
In the miracle in us, in the miracle in us",female
6,778,779,Poland,5,Sixteen,To takie proste,Polish,17,19,43,1998,United Kingdom,Birmingham,"Za oknem znowu wstaje dzień
Twój oddech budzi mnie
Czekam na dźwięk upragnionych słów
A słyszę tylko deszcz

Biegnę znów w swoją stronę
Lecz coś mi podpowiada, że

Ja wiem i ty to wiesz
Mamy to, co najlepsze jest
Gdy chcesz zabić gniew
To takie proste jest

W milczeniu szukam ciepłych warg
Połykam głuche żale
Najczulsze chwile porwał wiatr
I niesie coraz dalej

Biegnę znów, taka samotna
Lecz coś mi podpowiada, że

O... ja wiem i ty to wiesz
Mamy to, co najlepsze jest
Gdy chcesz zabić gniew
To takie proste, obejmij mnie
Yoohoo...

To takie proste jest
Whoa... yeah...

Ja wiem i ty to wiesz
Mamy to, co najlepsze jest
Gdy chcesz zabić gniew
To takie proste, obejmij mnie

(Mamy to, mamy to, yeah)
Ty to wiesz
(Mamy to, mamy to, yeah)
Co najlepsze jest

(Mamy to, mamy to, yeah)
To takie proste, obejmij mnie","Outside a new day is dawning
Your breath awakens me
I’m waiting impatiently for the sound of your voice
But all I hear is rain
I run away, as far as I’m concerned
But I have the intuition, that I know and you know too
We’ve got the best that we can get
When you want to suppress anger
It’s so easy Silently I search for your warm lips
Secretly I hold my tears
The wind swept up those most tender moments
Carrying them further and further away I run away, I’ll lose you
But I have the intuition, that Oh… I know and you know too
We’ve got the best that we can get
When you want to suppress anger
It’s easy, embrace me
Yoohoo… It’s so easy
Whoa… yeah… Oh… I know and you know too
We’ve got the best that we can get
When you want to suppress anger
It’s easy, embrace me (Got the best, got the best, yeah)
And you know it too
(Got the best, got the best, yeah)
That we can get (Got the best, got the best, yeah)
It’s easy, embrace me",group
7,779,780,Israel,21,Dana International,Diva (דיווה),Hebrew,1,172,43,1998,United Kingdom,Birmingham,"[בית 1]
יש אישה גדולה מהחיים
יש חושים שיש רק לה
יש קסמים ויש ימים קשים
ובמה שהיא כולה שלה

[טרום-פזמון]
למלאכים דיווה היא אימפריה
על הבמה דיווה היא היסטריה
היא כולה שיר אהבה

[פזמון]
ויוה נריע, ויוה ויקטוריה, אפרודיטה
ויוה לדיווה, ויוה ויקטוריה, קליאופטרה

[בית 2]
יש נשים, דמעות של החיים
הן ישאו תפילה ללא מילים

[טרום-פזמון]
למלאכים דיווה היא אימפריה
על הבמה דיווה היא היסטריה
היא כולה שיר אהבה

[פזמון]
ויוה נריע, ויוה ויקטוריה, אפרודיטה
ויוה לדיווה, ויוה ויקטוריה, קליאופטרה
ויוה נריע, ויוה ויקטוריה, אפרודיטה
ויוה לדיווה, ויוה ויקטוריה, קליאופטרה
או, או....
ויוה נריע, ויוה ויקטוריה, אפרודיטה
ויוה לדיווה, ויוה ויקטוריה, קליאופטרה

ויוה, ויוה
ויוה נריע, ויוה ויקטוריה, אפרודיטה
ויוה לדיווה, ויוה ויקטוריה, קליאופטרה
!ויוה","There is a woman who is bigger than life
She has sense nobody else has
There are magics and there are though days
And a stage which is all hers
For the angels Diva is an empire
On the stage Diva is a histery
She ias all a love song

Diva, we shall shout in joy
Diva Victoria
Aprodita
Viva for Diva
Viva Victoria
Cleopatra

There are women, tears of life
They will carry out a prayer with no words
For the angels Diva is an empire
On the stage Diva is a histery
She is all a love song

Diva, we shall shout in joy
Diva Victoria
Aprodita
Viva for Diva
Viva Victoria
Cleopatra

Version 2

She is all
You ever dream to find
On her stage
She sings her story
Pain and hurt
Will steal her heart tonight
Like a queen
In all her glory

And when she cries
Diva is an Angel
When she laughs
She's a Devil
She is all
Beauty and love

Viva maria
Viva Victoria
Aphrodita
Viva la diva
Viva Victoria
Cleopatra

Silent tears
Drop from these eyes tonight
Tears of prayer
For all those aching hearts

And when she cries
Diva is an Angel
When she laughs
She's a Devil
She is all
Beauty and love (love)

Viva maria
Viva Victoria
Aphrodita
Viva la diva
Viva Victoria
Cleopatra

Viva maria
Viva Victoria
Aphrodita
Viva la diva
Viva Victoria
Cleopatra

Diva
Diva
Diva
Diva

Viva maria
Viva Victoria
Aphrodita
Viva la diva
Viva Victoria
Cleopatra

Viva maria
Viva victoria
Aphrodita
Viva Victoria
Diva!",female
8,780,781,Germany,42,Die Orthopädischen Strümpfe,Guildo hat euch lieb!,German,7,86,43,1998,United Kingdom,Birmingham,"Guildo hat euch lieb
Und wenn's auch mal Tränen gibt
Kommt er rüber und singt für euch Lieder
Guildo hat euch lieb
Es gab eine Zeit
Eine Zeit voller Zärtlichkeit
Da wurde Knuddeln und Knutschen und Lieben
Immer groß geschrieben

Ich denk gern zurück
An die Zeit voll Harmonie und Glück
Als ich täglich in ein Poesiealbum schrieb
Piep, piep, piep - ich hab dich lieb

Guildo hat euch lieb
Und wenn's auch mal Tränen gibt
Kommt er rüber und singt für euch Lieder
Guildo hat euch lieb (Immer wieder)

In meiner kleinen Welt
In der der eine zum and'ren hält
Und in der deine Tränen nicht lügen
Lernen Träume fliegen

Da wär' ich so gern
Wär den Sternen nicht mehr allzu fern
Und von dort schick ich Euch meinen Liebesbeweis
Nussecken und Himbeereis

Guildo hat euch lieb
Und wenn's auch mal Tränen gibt
Kommt er rüber und singt für euch Lieder
Guildo hat euch lieb (Immer wieder)

Ich denk gern zurück
An die Zeit voll Harmonie und Glück
Als ich täglich in ein Poesiealbum schrieb
Piep, piep, piep - ich hab dich lieb

Guildo hat euch lieb
Und wenn's auch mal Tränen gibt
Kommt er rüber und singt für euch Lieder
Guildo hat euch lieb (Immer wieder, immer wieder)

(Guildo hat uns lieb, immer wieder)
Whoa... Guildo hat euch lieb (Immer wieder)
(Guildo hat uns lieb, immer wieder)
Hey, Guildo hat euch lieb","Guildo loves you!
Guildo loves you
So even if there are tears
He'll come over and sing songs for you
Guildo loves you
There was once a time, a time of tenderness
When Caressing and Cuddling and Loving
Were always written with capitals
I like to think back
On those days full of harmony and luck
When I daily wrote in a poetry book:
Yoo hoo hoo – I love you
Guildo loves you
So even if there are tears
He'll come over and sing songs for you
Guildo loves you (again and again)
In my little world, where we all stick together
And where tears don't lie
Dreams will learn to fly
That's where I'd like to be
If the stars weren't so far away
And from there I'd send you the proof of my love:
Nut cookies and raspberry ice cream
Guildo loves you
So even if there are tears
He'll come over and sing songs for you
Guildo loves you (again and again)
I like to look back
On those days full of harmony and luck
When I daily wrote in a poetry book:
Yoo hoo hoo – I love you
Guildo loves you
So even if there are tears
He'll come over and sing songs for you
Guildo loves you (again and again, again and again)
(Guildo loves us, again and again)
Whoa... Guildo loves you (again and again)
(Guildo loves us, again and again)
Hey, Guildo loves you",group
9,781,782,Malta,11,Chiara,The One That I Love,English,3,165,43,1998,United Kingdom,Birmingham,"Such a lovely night
When the stars are shining bright
And you're near, we're all alone
Cause I long for you so much
I never felt this way, not before
You turn on my mind, more and more

Chorus:
I think that I'm in love
And you mean so much to me
I think I love you so
I'll never let you go
This must be love
Up there we seem to flow
I'm standing and now I know;
For me yes, you're just the one
The one that I love

Such a lovely sight
When the colours shine so bright
And you're near, we're all alone
And I feel so warm inside
I never felt this way all my life
You came like spring sunshine
Gave me life

Chorus:
I think that I'm in love
And you mean so much to me
I think I love you so
I'll never let you go
This must be love
Up there we seem to flow
I'm standing and now I know;
For me yes, you're just the one
The one that I love

For me as you're just the one;
The one that I love",English,female
