,Year,Country,Language,Own,English,Other
0,1998.0,Croatia,Croatian,1,0,0
1,1999.0,Croatia,Croatian,1,0,0
2,2000.0,Croatia,Croatian,1,0,0
3,2005.0,Croatia,Croatian,1,0,0
4,2008.0,Croatia,Croatian,1,0,0
5,2009.0,Croatia,Croatian,1,0,0
6,2010.0,Croatia,Croatian,1,0,0
7,2012.0,Croatia,Croatian,1,0,0
8,2013.0,Croatia,Croatian,1,0,0
9,2020.0,Croatia,Croatian,1,0,0
10,1998.0,Greece,Greek,1,0,0
11,2010.0,Greece,Greek,1,0,0
12,2018.0,Greece,Greek,1,0,0
13,1998.0,France,French,1,0,0
14,1999.0,France,French,1,0,0
15,2000.0,France,French,1,0,0
16,2002.0,France,French,1,0,0
17,2003.0,France,French,1,0,0
18,2005.0,France,French,1,0,0
19,2006.0,France,French,1,0,0
20,2009.0,France,French,1,0,0
21,2013.0,France,French,1,0,0
22,2015.0,France,French,1,0,0
23,2018.0,France,French,1,0,0
24,2021.0,France,French,1,0,0
25,1998.0,Spain,Spanish,1,0,0
26,1999.0,Spain,Spanish,1,0,0
27,2000.0,Spain,Spanish,1,0,0
28,2001.0,Spain,Spanish,1,0,0
29,2003.0,Spain,Spanish,1,0,0
30,2004.0,Spain,Spanish,1,0,0
31,2005.0,Spain,Spanish,1,0,0
32,2009.0,Spain,Spanish,1,0,0
33,2010.0,Spain,Spanish,1,0,0
34,2011.0,Spain,Spanish,1,0,0
35,2012.0,Spain,Spanish,1,0,0
36,2015.0,Spain,Spanish,1,0,0
37,2018.0,Spain,Spanish,1,0,0
38,2019.0,Spain,Spanish,1,0,0
39,2020.0,Spain,Spanish,1,0,0
40,2021.0,Spain,Spanish,1,0,0
41,1998.0,Switzerland,German,1,0,0
42,1998.0,Slovakia,Slovak,1,0,0
43,2009.0,Slovakia,Slovak,1,0,0
44,2010.0,Slovakia,Slovak,1,0,0
45,1998.0,Poland,Polish,1,0,0
46,1999.0,Poland,Polish,1,0,0
47,2011.0,Poland,Polish,1,0,0
48,1998.0,Israel,Hebrew,1,0,0
49,2001.0,Israel,Hebrew,1,0,0
50,2010.0,Israel,Hebrew,1,0,0
51,2013.0,Israel,Hebrew,1,0,0
52,1998.0,Germany,German,1,0,0
53,1998.0,Malta,English,1,1,0
54,1999.0,Malta,English,1,1,0
55,2001.0,Malta,English,1,1,0
56,2002.0,Malta,English,1,1,0
57,2003.0,Malta,English,1,1,0
58,2004.0,Malta,English,1,1,0
59,2005.0,Malta,English,1,1,0
60,2006.0,Malta,English,1,1,0
61,2007.0,Malta,English,1,1,0
62,2009.0,Malta,English,1,1,0
63,2010.0,Malta,English,1,1,0
64,2011.0,Malta,English,1,1,0
65,2012.0,Malta,English,1,1,0
66,2013.0,Malta,English,1,1,0
67,2014.0,Malta,English,1,1,0
68,2015.0,Malta,English,1,1,0
69,2016.0,Malta,English,1,1,0
70,2017.0,Malta,English,1,1,0
71,2018.0,Malta,English,1,1,0
72,2019.0,Malta,English,1,1,0
73,2020.0,Malta,English,1,1,0
74,2022.0,Malta,English,1,1,0
75,1998.0,Hungary,Hungarian,1,0,0
76,2005.0,Hungary,Hungarian,1,0,0
77,2013.0,Hungary,Hungarian,1,0,0
78,2018.0,Hungary,Hungarian,1,0,0
79,2019.0,Hungary,Hungarian,1,0,0
80,1998.0,Slovenia,Slovene,1,0,0
81,2002.0,Slovenia,Slovene,1,0,0
82,2005.0,Slovenia,Slovene,1,0,0
83,2007.0,Slovenia,Slovene,1,0,0
84,2008.0,Slovenia,Slovene,1,0,0
85,2010.0,Slovenia,Slovene,1,0,0
86,2012.0,Slovenia,Slovene,1,0,0
87,2019.0,Slovenia,Slovene,1,0,0
88,1998.0,Ireland,English,1,1,0
89,1999.0,Ireland,English,1,1,0
90,2000.0,Ireland,English,1,1,0
91,2001.0,Ireland,English,1,1,0
92,2003.0,Ireland,English,1,1,0
93,2004.0,Ireland,English,1,1,0
94,2005.0,Ireland,English,1,1,0
95,2006.0,Ireland,English,1,1,0
96,2007.0,Ireland,English,1,1,0
97,2010.0,Ireland,English,1,1,0
98,2011.0,Ireland,English,1,1,0
99,2012.0,Ireland,English,1,1,0
100,2013.0,Ireland,English,1,1,0
101,2014.0,Ireland,English,1,1,0
102,2015.0,Ireland,English,1,1,0
103,2016.0,Ireland,English,1,1,0
104,2017.0,Ireland,English,1,1,0
105,2018.0,Ireland,English,1,1,0
106,2019.0,Ireland,English,1,1,0
107,2020.0,Ireland,English,1,1,0
108,2021.0,Ireland,English,1,1,0
109,2022.0,Ireland,English,1,1,0
110,1998.0,Portugal,Portuguese,1,0,0
111,1999.0,Portugal,Portuguese,1,0,0
112,2001.0,Portugal,Portuguese,1,0,0
113,2004.0,Portugal,Portuguese,1,0,0
114,2008.0,Portugal,Portuguese,1,0,0
115,2009.0,Portugal,Portuguese,1,0,0
116,2010.0,Portugal,Portuguese,1,0,0
117,2011.0,Portugal,Portuguese,1,0,0
118,2012.0,Portugal,Portuguese,1,0,0
119,2014.0,Portugal,Portuguese,1,0,0
120,2015.0,Portugal,Portuguese,1,0,0
121,2017.0,Portugal,Portuguese,1,0,0
122,2018.0,Portugal,Portuguese,1,0,0
123,2019.0,Portugal,Portuguese,1,0,0
