,Year,From country,Votes,Country,Own,English,Other,has_border
3,1999,AT,0.0,AT,0.0,1.0,0.0,
6,1999,AT,12.0,BA,0.0,0.0,1.0,
7,1999,AT,0.0,BE,0.0,1.0,0.0,
11,1999,AT,0.0,CY,1.0,0.0,0.0,
13,1999,AT,10.0,DE,0.0,0.0,1.0,1.0
14,1999,AT,5.0,DK,0.0,1.0,0.0,
15,1999,AT,3.0,EE,1.0,1.0,0.0,
16,1999,AT,0.0,ES,1.0,0.0,0.0,
18,1999,AT,0.0,FR,1.0,0.0,0.0,
19,1999,AT,0.0,GB,1.0,1.0,0.0,
22,1999,AT,8.0,HR,1.0,0.0,0.0,
24,1999,AT,0.0,IE,1.0,1.0,0.0,
25,1999,AT,1.0,IL,0.0,0.0,1.0,
26,1999,AT,2.0,IS,0.0,1.0,0.0,
28,1999,AT,0.0,LT,0.0,0.0,1.0,
34,1999,AT,7.0,MT,1.0,1.0,0.0,
35,1999,AT,4.0,NL,0.0,1.0,0.0,
36,1999,AT,0.0,NO,0.0,1.0,0.0,
37,1999,AT,0.0,PL,1.0,0.0,0.0,
38,1999,AT,0.0,PT,1.0,0.0,0.0,
42,1999,AT,6.0,SE,0.0,1.0,0.0,
43,1999,AT,0.0,SI,0.0,1.0,0.0,1.0
46,1999,AT,0.0,TR,1.0,0.0,0.0,
52,1999,BA,0.0,AT,0.0,1.0,0.0,
55,1999,BA,0.0,BA,0.0,0.0,1.0,
56,1999,BA,0.0,BE,0.0,1.0,0.0,
60,1999,BA,0.0,CY,1.0,0.0,0.0,
62,1999,BA,10.0,DE,0.0,0.0,1.0,
63,1999,BA,0.0,DK,0.0,1.0,0.0,
64,1999,BA,3.0,EE,1.0,1.0,0.0,
65,1999,BA,0.0,ES,1.0,0.0,0.0,
67,1999,BA,0.0,FR,1.0,0.0,0.0,
68,1999,BA,1.0,GB,1.0,1.0,0.0,
71,1999,BA,8.0,HR,1.0,0.0,0.0,1.0
73,1999,BA,0.0,IE,1.0,1.0,0.0,
74,1999,BA,2.0,IL,0.0,0.0,1.0,
75,1999,BA,0.0,IS,0.0,1.0,0.0,
77,1999,BA,0.0,LT,0.0,0.0,1.0,
83,1999,BA,7.0,MT,1.0,1.0,0.0,
84,1999,BA,4.0,NL,0.0,1.0,0.0,
85,1999,BA,0.0,NO,0.0,1.0,0.0,
86,1999,BA,6.0,PL,1.0,0.0,0.0,
87,1999,BA,0.0,PT,1.0,0.0,0.0,
91,1999,BA,12.0,SE,0.0,1.0,0.0,
92,1999,BA,5.0,SI,0.0,1.0,0.0,
95,1999,BA,0.0,TR,1.0,0.0,0.0,
101,1999,BE,6.0,AT,0.0,1.0,0.0,
104,1999,BE,1.0,BA,0.0,0.0,1.0,
105,1999,BE,0.0,BE,0.0,1.0,0.0,
109,1999,BE,0.0,CY,1.0,0.0,0.0,
111,1999,BE,10.0,DE,0.0,0.0,1.0,1.0
112,1999,BE,0.0,DK,0.0,1.0,0.0,
113,1999,BE,4.0,EE,1.0,1.0,0.0,
114,1999,BE,0.0,ES,1.0,0.0,0.0,
116,1999,BE,0.0,FR,1.0,0.0,0.0,1.0
117,1999,BE,0.0,GB,1.0,1.0,0.0,
120,1999,BE,5.0,HR,1.0,0.0,0.0,
122,1999,BE,0.0,IE,1.0,1.0,0.0,
123,1999,BE,3.0,IL,0.0,0.0,1.0,
124,1999,BE,8.0,IS,0.0,1.0,0.0,
126,1999,BE,0.0,LT,0.0,0.0,1.0,
132,1999,BE,0.0,MT,1.0,1.0,0.0,
133,1999,BE,12.0,NL,0.0,1.0,0.0,1.0
134,1999,BE,0.0,NO,0.0,1.0,0.0,
135,1999,BE,0.0,PL,1.0,0.0,0.0,
136,1999,BE,0.0,PT,1.0,0.0,0.0,
140,1999,BE,7.0,SE,0.0,1.0,0.0,
141,1999,BE,2.0,SI,0.0,1.0,0.0,
144,1999,BE,0.0,TR,1.0,0.0,0.0,
150,1999,CY,1.0,AT,0.0,1.0,0.0,
153,1999,CY,0.0,BA,0.0,0.0,1.0,
154,1999,CY,0.0,BE,0.0,1.0,0.0,
158,1999,CY,0.0,CY,1.0,0.0,0.0,
160,1999,CY,0.0,DE,0.0,0.0,1.0,
161,1999,CY,8.0,DK,0.0,1.0,0.0,
162,1999,CY,0.0,EE,1.0,1.0,0.0,
163,1999,CY,0.0,ES,1.0,0.0,0.0,
165,1999,CY,0.0,FR,1.0,0.0,0.0,
166,1999,CY,4.0,GB,1.0,1.0,0.0,
169,1999,CY,2.0,HR,1.0,0.0,0.0,
171,1999,CY,0.0,IE,1.0,1.0,0.0,
172,1999,CY,10.0,IL,0.0,0.0,1.0,
173,1999,CY,12.0,IS,0.0,1.0,0.0,
175,1999,CY,5.0,LT,0.0,0.0,1.0,
181,1999,CY,3.0,MT,1.0,1.0,0.0,
182,1999,CY,0.0,NL,0.0,1.0,0.0,
183,1999,CY,7.0,NO,0.0,1.0,0.0,
184,1999,CY,0.0,PL,1.0,0.0,0.0,
185,1999,CY,0.0,PT,1.0,0.0,0.0,
189,1999,CY,6.0,SE,0.0,1.0,0.0,
190,1999,CY,0.0,SI,0.0,1.0,0.0,
193,1999,CY,0.0,TR,1.0,0.0,0.0,
199,1999,DE,5.0,AT,0.0,1.0,0.0,1.0
202,1999,DE,8.0,BA,0.0,0.0,1.0,
203,1999,DE,0.0,BE,0.0,1.0,0.0,1.0
207,1999,DE,0.0,CY,1.0,0.0,0.0,
209,1999,DE,0.0,DE,0.0,0.0,1.0,
210,1999,DE,0.0,DK,0.0,1.0,0.0,1.0
211,1999,DE,6.0,EE,1.0,1.0,0.0,
212,1999,DE,0.0,ES,1.0,0.0,0.0,
214,1999,DE,0.0,FR,1.0,0.0,0.0,1.0
215,1999,DE,0.0,GB,1.0,1.0,0.0,
218,1999,DE,10.0,HR,1.0,0.0,0.0,
220,1999,DE,0.0,IE,1.0,1.0,0.0,
221,1999,DE,7.0,IL,0.0,0.0,1.0,
222,1999,DE,3.0,IS,0.0,1.0,0.0,
224,1999,DE,0.0,LT,0.0,0.0,1.0,
230,1999,DE,1.0,MT,1.0,1.0,0.0,
231,1999,DE,0.0,NL,0.0,1.0,0.0,1.0
232,1999,DE,0.0,NO,0.0,1.0,0.0,
233,1999,DE,4.0,PL,1.0,0.0,0.0,1.0
234,1999,DE,0.0,PT,1.0,0.0,0.0,
238,1999,DE,2.0,SE,0.0,1.0,0.0,
239,1999,DE,0.0,SI,0.0,1.0,0.0,
242,1999,DE,12.0,TR,1.0,0.0,0.0,
248,1999,DK,3.0,AT,0.0,1.0,0.0,
251,1999,DK,8.0,BA,0.0,0.0,1.0,
252,1999,DK,0.0,BE,0.0,1.0,0.0,
256,1999,DK,0.0,CY,1.0,0.0,0.0,
258,1999,DK,5.0,DE,0.0,0.0,1.0,1.0
259,1999,DK,0.0,DK,0.0,1.0,0.0,
260,1999,DK,4.0,EE,1.0,1.0,0.0,
261,1999,DK,0.0,ES,1.0,0.0,0.0,
263,1999,DK,0.0,FR,1.0,0.0,0.0,
264,1999,DK,1.0,GB,1.0,1.0,0.0,
267,1999,DK,0.0,HR,1.0,0.0,0.0,
269,1999,DK,0.0,IE,1.0,1.0,0.0,
270,1999,DK,2.0,IL,0.0,0.0,1.0,
271,1999,DK,12.0,IS,0.0,1.0,0.0,
273,1999,DK,0.0,LT,0.0,0.0,1.0,
279,1999,DK,0.0,MT,1.0,1.0,0.0,
280,1999,DK,7.0,NL,0.0,1.0,0.0,
281,1999,DK,6.0,NO,0.0,1.0,0.0,
282,1999,DK,0.0,PL,1.0,0.0,0.0,
283,1999,DK,0.0,PT,1.0,0.0,0.0,
287,1999,DK,10.0,SE,0.0,1.0,0.0,
288,1999,DK,0.0,SI,0.0,1.0,0.0,
291,1999,DK,0.0,TR,1.0,0.0,0.0,
297,1999,EE,8.0,AT,0.0,1.0,0.0,
300,1999,EE,0.0,BA,0.0,0.0,1.0,
301,1999,EE,5.0,BE,0.0,1.0,0.0,
305,1999,EE,0.0,CY,1.0,0.0,0.0,
307,1999,EE,7.0,DE,0.0,0.0,1.0,
308,1999,EE,6.0,DK,0.0,1.0,0.0,
309,1999,EE,0.0,EE,1.0,1.0,0.0,
310,1999,EE,0.0,ES,1.0,0.0,0.0,
312,1999,EE,0.0,FR,1.0,0.0,0.0,
313,1999,EE,0.0,GB,1.0,1.0,0.0,
316,1999,EE,3.0,HR,1.0,0.0,0.0,
318,1999,EE,0.0,IE,1.0,1.0,0.0,
319,1999,EE,4.0,IL,0.0,0.0,1.0,
320,1999,EE,10.0,IS,0.0,1.0,0.0,
322,1999,EE,2.0,LT,0.0,0.0,1.0,
328,1999,EE,1.0,MT,1.0,1.0,0.0,
329,1999,EE,0.0,NL,0.0,1.0,0.0,
330,1999,EE,0.0,NO,0.0,1.0,0.0,
331,1999,EE,0.0,PL,1.0,0.0,0.0,
332,1999,EE,0.0,PT,1.0,0.0,0.0,
336,1999,EE,12.0,SE,0.0,1.0,0.0,
337,1999,EE,0.0,SI,0.0,1.0,0.0,
340,1999,EE,0.0,TR,1.0,0.0,0.0,
346,1999,ES,0.0,AT,0.0,1.0,0.0,
349,1999,ES,0.0,BA,0.0,0.0,1.0,
350,1999,ES,0.0,BE,0.0,1.0,0.0,
354,1999,ES,0.0,CY,1.0,0.0,0.0,
356,1999,ES,7.0,DE,0.0,0.0,1.0,
357,1999,ES,5.0,DK,0.0,1.0,0.0,
358,1999,ES,1.0,EE,1.0,1.0,0.0,
359,1999,ES,0.0,ES,1.0,0.0,0.0,
361,1999,ES,0.0,FR,1.0,0.0,0.0,1.0
362,1999,ES,4.0,GB,1.0,1.0,0.0,
365,1999,ES,12.0,HR,1.0,0.0,0.0,
367,1999,ES,0.0,IE,1.0,1.0,0.0,
368,1999,ES,8.0,IL,0.0,0.0,1.0,
