country,code,year,emigrated_from_code,count,code3
Albania,AL,1990,GR,40087,ALB
Albania,AL,1990,IT,11287,ALB
Albania,AL,1990,MK,678,ALB
Albania,AL,1990,Other,4162,ALB
Albania,AL,1990,TR,2489,ALB
Albania,AL,1995,GR,43331,ALB
Albania,AL,1995,IT,12200,ALB
Albania,AL,1995,MK,732,ALB
Albania,AL,1995,Other,4499,ALB
Albania,AL,1995,TR,2690,ALB
Albania,AL,2000,GR,46575,ALB
Albania,AL,2000,IT,13113,ALB
Albania,AL,2000,MK,787,ALB
Albania,AL,2000,Other,4835,ALB
Albania,AL,2000,TR,2892,ALB
Albania,AL,2005,GR,39315,ALB
Albania,AL,2005,IT,11069,ALB
Albania,AL,2005,MK,664,ALB
Albania,AL,2005,Other,4081,ALB
Albania,AL,2005,TR,2441,ALB
Albania,AL,2010,GR,32054,ALB
Albania,AL,2010,IT,9025,ALB
Albania,AL,2010,MK,542,ALB
Albania,AL,2010,Other,3328,ALB
Albania,AL,2010,TR,1990,ALB
Albania,AL,2015,GR,31596,ALB
Albania,AL,2015,IT,8896,ALB
Albania,AL,2015,MK,534,ALB
Albania,AL,2015,Other,3279,ALB
Albania,AL,2015,TR,1961,ALB
Albania,AL,2020,GR,29643,ALB
Albania,AL,2020,IT,8344,ALB
Albania,AL,2020,MK,499,ALB
Albania,AL,2020,Other,3074,ALB
Albania,AL,2020,TR,1838,ALB
Andorra,AD,1990,AU,36,AND
Andorra,AD,1990,BE,241,AND
Andorra,AD,1990,CH,64,AND
Andorra,AD,1990,DE,347,AND
Andorra,AD,1990,DK,84,AND
Andorra,AD,1990,ES,27103,AND
Andorra,AD,1990,FR,4135,AND
Andorra,AD,1990,GB,1043,AND
Andorra,AD,1990,IT,109,AND
Andorra,AD,1990,NL,190,AND
Andorra,AD,1990,Other,774,AND
Andorra,AD,1990,PT,3957,AND
Andorra,AD,1990,SE,54,AND
Andorra,AD,1995,AU,39,AND
Andorra,AD,1995,BE,241,AND
Andorra,AD,1995,CH,69,AND
Andorra,AD,1995,DE,351,AND
Andorra,AD,1995,DK,111,AND
Andorra,AD,1995,ES,26972,AND
Andorra,AD,1995,FR,4216,AND
Andorra,AD,1995,GB,975,AND
Andorra,AD,1995,IT,130,AND
Andorra,AD,1995,NL,209,AND
Andorra,AD,1995,Other,959,AND
Andorra,AD,1995,PT,5364,AND
Andorra,AD,1995,SE,52,AND
Andorra,AD,2000,AU,41,AND
Andorra,AD,2000,BE,241,AND
Andorra,AD,2000,CH,74,AND
Andorra,AD,2000,DE,355,AND
Andorra,AD,2000,DK,138,AND
Andorra,AD,2000,ES,26841,AND
Andorra,AD,2000,FR,4298,AND
Andorra,AD,2000,GB,907,AND
Andorra,AD,2000,IT,151,AND
Andorra,AD,2000,NL,229,AND
Andorra,AD,2000,Other,1143,AND
Andorra,AD,2000,PT,6771,AND
Andorra,AD,2000,SE,49,AND
Andorra,AD,2005,AU,59,AND
Andorra,AD,2005,BE,255,AND
Andorra,AD,2005,CH,86,AND
Andorra,AD,2005,DE,401,AND
Andorra,AD,2005,DK,140,AND
Andorra,AD,2005,ES,28450,AND
Andorra,AD,2005,FR,4875,AND
Andorra,AD,2005,GB,1085,AND
Andorra,AD,2005,IT,349,AND
Andorra,AD,2005,NL,260,AND
Andorra,AD,2005,Other,1789,AND
Andorra,AD,2005,PT,10722,AND
Andorra,AD,2005,SE,55,AND
Andorra,AD,2010,AU,70,AND
Andorra,AD,2010,BE,231,AND
Andorra,AD,2010,CH,87,AND
Andorra,AD,2010,DE,392,AND
Andorra,AD,2010,DK,121,AND
Andorra,AD,2010,ES,25929,AND
Andorra,AD,2010,FR,4796,AND
Andorra,AD,2010,GB,1125,AND
Andorra,AD,2010,IT,527,AND
Andorra,AD,2010,NL,257,AND
Andorra,AD,2010,Other,2270,AND
Andorra,AD,2010,PT,13686,AND
Andorra,AD,2010,SE,53,AND
Andorra,AD,2015,AU,65,AND
Andorra,AD,2015,BE,215,AND
Andorra,AD,2015,CH,80,AND
Andorra,AD,2015,DE,339,AND
Andorra,AD,2015,DK,112,AND
Andorra,AD,2015,ES,20577,AND
Andorra,AD,2015,FR,3890,AND
Andorra,AD,2015,GB,1054,AND
Andorra,AD,2015,IT,458,AND
Andorra,AD,2015,NL,244,AND
Andorra,AD,2015,Other,1998,AND
Andorra,AD,2015,PT,10697,AND
